Time (s),$ T_{tr} $ (nexaFoam)_Temp,$ T_{vib} $ (nexaFoam)_Temp
5.51e-06,3256.79,9351.47
5.52e-06,3257.35,9350.06
5.53e-06,3257.91,9348.66
5.54e-06,3258.47,9347.25
5.55e-06,3259.02,9345.84
5.56e-06,3259.58,9344.43
5.57e-06,3260.14,9343.02
5.58e-06,3260.7,9341.61
5.59e-06,3261.26,9340.19
5.6e-06,3261.82,9338.78
5.61e-06,3262.38,9337.36
5.62e-06,3262.94,9335.95
5.63e-06,3263.5,9334.53
5.64e-06,3264.06,9333.11
5.65e-06,3264.62,9331.7
5.66e-06,3265.18,9330.28
5.67e-06,3265.74,9328.85
5.68e-06,3266.31,9327.43
5.69e-06,3266.87,9326.01
5.7e-06,3267.43,9324.59
5.71e-06,3268.0,9323.16
5.72e-06,3268.56,9321.74
5.73e-06,3269.12,9320.31
5.74e-06,3269.69,9318.88
5.75e-06,3270.25,9317.45
5.76e-06,3270.82,9316.02
5.77e-06,3271.39,9314.59
5.78e-06,3271.95,9313.16
5.79e-06,3272.52,9311.73
5.8e-06,3273.09,9310.29
5.81e-06,3273.65,9308.86
5.82e-06,3274.22,9307.42
5.83e-06,3274.79,9305.99
5.84e-06,3275.36,9304.55
5.85e-06,3275.93,9303.11
5.86e-06,3276.5,9301.67
5.87e-06,3277.07,9300.23
5.88e-06,3277.64,9298.79
5.89e-06,3278.21,9297.34
5.9e-06,3278.78,9295.9
5.91e-06,3279.35,9294.46
5.92e-06,3279.93,9293.01
5.93e-06,3280.5,9291.56
5.94e-06,3281.07,9290.12
5.95e-06,3281.64,9288.67
5.96e-06,3282.22,9287.22
5.97e-06,3282.79,9285.77
5.98e-06,3283.37,9284.31
5.99e-06,3283.94,9282.86
6e-06,3284.52,9281.41
6.01e-06,3285.09,9279.95
6.02e-06,3285.67,9278.5
6.03e-06,3286.24,9277.04
6.04e-06,3286.82,9275.58
6.05e-06,3287.4,9274.12
6.06e-06,3287.98,9272.66
6.07e-06,3288.55,9271.2
6.08e-06,3289.13,9269.74
6.09e-06,3289.71,9268.27
6.1e-06,3290.29,9266.81
6.11e-06,3290.87,9265.34
6.12e-06,3291.45,9263.88
