Time (s),$ T_{tr} $ (nexaFoam)_Temp,"$ T_{vib, N_2} $ (nexaFoam)_Temp"
2.58e-06,16962.4,16753.9
2.59e-06,16950.8,16742.8
2.6e-06,16939.3,16731.6
2.61e-06,16927.9,16720.6
2.62e-06,16916.5,16709.6
2.63e-06,16905.1,16698.6
2.64e-06,16893.8,16687.6
2.65e-06,16882.6,16676.7
2.66e-06,16871.4,16665.9
2.67e-06,16860.3,16655.1
2.68e-06,16849.2,16644.3
2.69e-06,16838.2,16633.6
2.7e-06,16827.3,16622.9
2.71e-06,16816.4,16612.3
2.72e-06,16805.5,16601.7
2.73e-06,16794.7,16591.1
2.74e-06,16784.0,16580.6
2.75e-06,16773.3,16570.1
2.76e-06,16762.7,16559.7
2.77e-06,16752.1,16549.3
2.78e-06,16741.5,16539.0
2.79e-06,16731.0,16528.6
2.8e-06,16720.6,16518.4
2.81e-06,16710.2,16508.2
2.82e-06,16699.8,16498.0
2.83e-06,16689.5,16487.8
2.84e-06,16679.3,16477.7
2.85e-06,16669.1,16467.7
2.86e-06,16658.9,16457.7
2.87e-06,16648.8,16447.7
2.88e-06,16638.8,16437.7
2.89e-06,16628.8,16427.8
2.9e-06,16618.8,16418.0
2.91e-06,16608.9,16408.2
2.92e-06,16599.0,16398.4
2.93e-06,16589.1,16388.6
2.94e-06,16579.3,16378.9
2.95e-06,16569.6,16369.3
2.96e-06,16559.9,16359.6
2.97e-06,16550.2,16350.1
2.98e-06,16540.6,16340.5
2.99e-06,16531.0,16331.0
3e-06,16521.5,16321.5
3.01e-06,16512.0,16312.1
3.02e-06,16502.5,16302.7
3.03e-06,16493.1,16293.3
3.04e-06,16483.7,16284.0
3.05e-06,16474.4,16274.7
3.06e-06,16465.1,16265.5
3.07e-06,16455.9,16256.3
3.08e-06,16446.6,16247.1
3.09e-06,16437.5,16238.0
3.1e-06,16428.3,16228.8
3.11e-06,16419.2,16219.8
3.12e-06,16410.2,16210.7
3.13e-06,16401.2,16201.8
3.14e-06,16392.2,16192.8
3.15e-06,16383.2,16183.9
3.16e-06,16374.3,16175.0
3.17e-06,16365.4,16166.1
3.18e-06,16356.6,16157.3
3.19e-06,16347.8,16148.5
3.2e-06,16339.0,16139.8
3.21e-06,16330.3,16131.1
3.22e-06,16321.6,16122.4
3.23e-06,16313.0,16113.7
3.24e-06,16304.3,16105.1
3.25e-06,16295.7,16096.5
3.26e-06,16287.2,16088.0
3.27e-06,16278.7,16079.5
3.28e-06,16270.2,16071.0
3.29e-06,16261.7,16062.5
3.3e-06,16253.3,16054.1
3.31e-06,16244.9,16045.7
3.32e-06,16236.6,16037.4
3.33e-06,16228.2,16029.0
3.34e-06,16220.0,16020.8
3.35e-06,16211.7,16012.5
3.36e-06,16203.5,16004.3
3.37e-06,16195.3,15996.1
3.38e-06,16187.1,15987.9
3.39e-06,16179.0,15979.8
3.4e-06,16170.9,15971.7
3.41e-06,16162.8,15963.6
3.42e-06,16154.8,15955.6
3.43e-06,16146.8,15947.6
3.44e-06,16138.8,15939.6
3.45e-06,16130.9,15931.6
3.46e-06,16123.0,15923.7
3.47e-06,16115.1,15915.8
3.48e-06,16107.2,15907.9
3.49e-06,16099.4,15900.1
3.5e-06,16091.6,15892.3
3.51e-06,16083.8,15884.5
3.52e-06,16076.1,15876.8
3.53e-06,16068.4,15869.1
3.54e-06,16060.7,15861.4
3.55e-06,16053.0,15853.7
3.56e-06,16045.4,15846.1
3.57e-06,16037.8,15838.5
3.58e-06,16030.2,15830.9
3.59e-06,16022.7,15823.4
3.6e-06,16015.2,15815.8
3.61e-06,16007.7,15808.4
3.62e-06,16000.2,15800.9
3.63e-06,15992.8,15793.4
3.64e-06,15985.4,15786.0
3.65e-06,15978.0,15778.6
3.66e-06,15970.7,15771.3
