Time (s),$ T_{tr} $ (nexaFoam)_Temp,$ T_{vib} $ (nexaFoam)_Temp
5.25e-06,7632.48,7603.47
5.26e-06,7632.4,7603.65
5.27e-06,7632.33,7603.84
5.28e-06,7632.26,7604.02
5.29e-06,7632.19,7604.2
5.3e-06,7632.12,7604.38
5.31e-06,7632.05,7604.55
5.32e-06,7631.98,7604.73
5.33e-06,7631.91,7604.9
5.34e-06,7631.84,7605.08
5.35e-06,7631.78,7605.25
5.36e-06,7631.71,7605.42
5.37e-06,7631.64,7605.58
5.38e-06,7631.58,7605.75
5.39e-06,7631.51,7605.91
5.4e-06,7631.45,7606.08
5.41e-06,7631.38,7606.24
5.42e-06,7631.32,7606.4
5.43e-06,7631.26,7606.56
5.44e-06,7631.2,7606.72
5.45e-06,7631.14,7606.87
5.46e-06,7631.08,7607.03
5.47e-06,7631.01,7607.18
5.48e-06,7630.95,7607.33
5.49e-06,7630.9,7607.48
5.5e-06,7630.84,7607.63
5.51e-06,7630.78,7607.78
5.52e-06,7630.72,7607.93
5.53e-06,7630.66,7608.07
5.54e-06,7630.61,7608.21
5.55e-06,7630.55,7608.36
5.56e-06,7630.5,7608.5
5.57e-06,7630.44,7608.64
5.58e-06,7630.39,7608.78
5.59e-06,7630.33,7608.91
5.6e-06,7630.28,7609.05
5.61e-06,7630.22,7609.19
5.62e-06,7630.17,7609.32
5.63e-06,7630.12,7609.45
5.64e-06,7630.07,7609.59
5.65e-06,7630.02,7609.72
5.66e-06,7629.97,7609.84
5.67e-06,7629.92,7609.97
5.68e-06,7629.87,7610.1
5.69e-06,7629.82,7610.23
5.7e-06,7629.77,7610.35
5.71e-06,7629.72,7610.47
5.72e-06,7629.67,7610.6
5.73e-06,7629.62,7610.72
5.74e-06,7629.57,7610.84
5.75e-06,7629.53,7610.96
5.76e-06,7629.48,7611.08
5.77e-06,7629.43,7611.19
5.78e-06,7629.39,7611.31
5.79e-06,7629.34,7611.42
5.8e-06,7629.3,7611.54
5.81e-06,7629.25,7611.65
5.82e-06,7629.21,7611.76
5.83e-06,7629.17,7611.87
5.84e-06,7629.12,7611.98
5.85e-06,7629.08,7612.09
5.86e-06,7629.04,7612.2
5.87e-06,7629.0,7612.31
5.88e-06,7628.95,7612.42
5.89e-06,7628.91,7612.52
5.9e-06,7628.87,7612.62
5.91e-06,7628.83,7612.73
5.92e-06,7628.79,7612.83
5.93e-06,7628.75,7612.93
5.94e-06,7628.71,7613.03
5.95e-06,7628.67,7613.13
5.96e-06,7628.63,7613.23
5.97e-06,7628.59,7613.33
5.98e-06,7628.56,7613.43
5.99e-06,7628.52,7613.52
6e-06,7628.48,7613.62
6.01e-06,7628.44,7613.71
6.02e-06,7628.41,7613.81
6.03e-06,7628.37,7613.9
6.04e-06,7628.33,7613.99
6.05e-06,7628.3,7614.08
6.06e-06,7628.26,7614.17
6.07e-06,7628.23,7614.26
6.08e-06,7628.19,7614.35
6.09e-06,7628.16,7614.44
6.1e-06,7628.12,7614.53
6.11e-06,7628.09,7614.61
6.12e-06,7628.05,7614.7
6.13e-06,7628.02,7614.78
6.14e-06,7627.99,7614.87
6.15e-06,7627.96,7614.95
6.16e-06,7627.92,7615.03
6.17e-06,7627.89,7615.12
