Time (s),$ T_{tr} $ (nexaFoam)_Temp,$ T_{vib} $ (nexaFoam)_Temp
6.6e-06,24378.8,24378.8
6.61e-06,24378.8,24378.8
6.62e-06,24378.8,24378.8
6.63e-06,24378.8,24378.8
6.64e-06,24378.8,24378.8
6.65e-06,24378.8,24378.8
6.66e-06,24378.8,24378.8
6.67e-06,24378.8,24378.8
6.68e-06,24378.8,24378.8
6.69e-06,24378.8,24378.8
6.7e-06,24378.8,24378.8
6.71e-06,24378.8,24378.8
6.72e-06,24378.8,24378.8
6.73e-06,24378.8,24378.8
6.74e-06,24378.8,24378.8
6.75e-06,24378.8,24378.8
6.76e-06,24378.8,24378.8
6.77e-06,24378.8,24378.8
6.78e-06,24378.8,24378.8
6.79e-06,24378.8,24378.8
6.8e-06,24378.8,24378.8
6.81e-06,24378.8,24378.8
6.82e-06,24378.8,24378.8
6.83e-06,24378.8,24378.8
6.84e-06,24378.8,24378.8
6.85e-06,24378.8,24378.8
6.86e-06,24378.8,24378.8
6.87e-06,24378.8,24378.8
6.88e-06,24378.8,24378.8
6.89e-06,24378.8,24378.8
6.9e-06,24378.8,24378.8
6.91e-06,24378.8,24378.8
6.92e-06,24378.8,24378.8
6.93e-06,24378.8,24378.8
6.94e-06,24378.8,24378.8
6.95e-06,24378.8,24378.8
6.96e-06,24378.8,24378.8
6.97e-06,24378.8,24378.8
6.98e-06,24378.8,24378.8
6.99e-06,24378.8,24378.8
7e-06,24378.8,24378.8
7.01e-06,24378.8,24378.8
7.02e-06,24378.8,24378.8
7.03e-06,24378.8,24378.8
7.04e-06,24378.8,24378.8
7.05e-06,24378.8,24378.8
7.06e-06,24378.8,24378.8
7.07e-06,24378.8,24378.8
7.08e-06,24378.8,24378.8
7.09e-06,24378.8,24378.8
7.1e-06,24378.8,24378.8
7.11e-06,24378.8,24378.8
7.12e-06,24378.8,24378.8
7.13e-06,24378.8,24378.8
7.14e-06,24378.8,24378.8
7.15e-06,24378.8,24378.8
7.16e-06,24378.8,24378.8
7.17e-06,24378.8,24378.8
7.18e-06,24378.8,24378.8
7.19e-06,24378.8,24378.8
7.2e-06,24378.8,24378.8
7.21e-06,24378.8,24378.8
7.22e-06,24378.8,24378.8
7.23e-06,24378.8,24378.8
7.24e-06,24378.8,24378.8
7.25e-06,24378.8,24378.8
7.26e-06,24378.8,24378.8
7.27e-06,24378.8,24378.8
7.28e-06,24378.8,24378.8
7.29e-06,24378.8,24378.8
7.3e-06,24378.8,24378.8
7.31e-06,24378.8,24378.8
7.32e-06,24378.8,24378.8
7.33e-06,24378.8,24378.8
7.34e-06,24378.8,24378.8
7.35e-06,24378.8,24378.8
7.36e-06,24378.8,24378.8
7.37e-06,24378.8,24378.8
7.38e-06,24378.8,24378.8
7.39e-06,24378.8,24378.8
7.4e-06,24378.8,24378.8
7.41e-06,24378.8,24378.8
7.42e-06,24378.8,24378.8
7.43e-06,24378.8,24378.8
7.44e-06,24378.8,24378.8
7.45e-06,24378.8,24378.8
7.46e-06,24378.8,24378.8
7.47e-06,24378.8,24378.8
7.48e-06,24378.8,24378.8
7.49e-06,24378.8,24378.8
7.5e-06,24378.8,24378.8
7.51e-06,24378.8,24378.8
7.52e-06,24378.8,24378.8
7.53e-06,24378.8,24378.8
7.54e-06,24378.8,24378.8
7.55e-06,24378.8,24378.8
7.56e-06,24378.8,24378.8
7.57e-06,24378.8,24378.8
7.58e-06,24378.8,24378.8
7.59e-06,24378.8,24378.8
7.6e-06,24378.8,24378.8
7.61e-06,24378.8,24378.8
7.62e-06,24378.8,24378.8
7.63e-06,24378.8,24378.8
7.64e-06,24378.8,24378.8
7.65e-06,24378.8,24378.8
7.66e-06,24378.8,24378.8
7.67e-06,24378.8,24378.8
7.68e-06,24378.8,24378.8
7.69e-06,24378.8,24378.8
7.7e-06,24378.8,24378.8
7.71e-06,24378.8,24378.8
7.72e-06,24378.8,24378.8
7.73e-06,24378.8,24378.8
7.74e-06,24378.8,24378.8
7.75e-06,24378.8,24378.8
7.76e-06,24378.8,24378.8
7.77e-06,24378.8,24378.8
7.78e-06,24378.8,24378.8
7.79e-06,24378.8,24378.8
7.8e-06,24378.8,24378.8
7.81e-06,24378.8,24378.8
7.82e-06,24378.8,24378.8
7.83e-06,24378.8,24378.8
7.84e-06,24378.8,24378.8
7.85e-06,24378.8,24378.8
7.86e-06,24378.8,24378.8
7.87e-06,24378.8,24378.8
7.88e-06,24378.8,24378.8
7.89e-06,24378.8,24378.8
7.9e-06,24378.8,24378.8
7.91e-06,24378.8,24378.8
7.92e-06,24378.8,24378.8
7.93e-06,24378.8,24378.8
7.94e-06,24378.8,24378.8
7.95e-06,24378.8,24378.8
7.96e-06,24378.8,24378.8
7.97e-06,24378.8,24378.8
7.98e-06,24378.8,24378.8
7.99e-06,24378.8,24378.8
8e-06,24378.8,24378.8
8.01e-06,24378.8,24378.8
8.02e-06,24378.8,24378.8
8.03e-06,24378.8,24378.8
8.04e-06,24378.8,24378.8
8.05e-06,24378.8,24378.8
8.06e-06,24378.8,24378.8
8.07e-06,24378.8,24378.8
8.08e-06,24378.8,24378.8
8.09e-06,24378.8,24378.8
8.1e-06,24378.8,24378.8
8.11e-06,24378.8,24378.8
8.12e-06,24378.8,24378.8
8.13e-06,24378.8,24378.8
8.14e-06,24378.8,24378.8
8.15e-06,24378.8,24378.8
8.16e-06,24378.8,24378.8
